sysmsg,sysmsg_permutation,code,code_with_name,usermsg,answer,tokens_in,tokens_out
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should be consise.","intro,details,task_specific,consise",SE331,"SE331, Västerbottens län",Give me all nuts regions that share a border with the region SE331 and have the same NUTS level,The NUTS regions that share a border with SE331 at the same NUTS level are SE332 and SE33A.,70,27
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should be consise.","intro,details,task_specific,consise",IE051,"IE051, Mid-West",Give me all nuts regions that share a border with the region IE051 and have the same NUTS level,The NUTS regions that share a border with IE051 at the same NUTS level are IE052 and IE053.,70,26
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should be consise.","intro,details,task_specific,consise",ES615,"ES615, Huelva",Give me all nuts regions that share a border with the region ES615 and have the same NUTS level,"The NUTS regions that share a border with ES615 at the same NUTS level are ES511, ES612, and ES618.",70,30
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should be consise.","intro,details,task_specific,consise",FRK21,"FRK21, Ain",Give me all nuts regions that share a border with the region FRK21 and have the same NUTS level,"The NUTS regions that share a border with FRK21 at the same NUTS level are FRK22, FRK23, and FRK24.",71,34
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",CZ,"CZ, ČESKÁ REPUBLIKA",Give me all nuts regions that share a border with the region CZ and have the same NUTS level,"CZ01, CZ02, CZ03, CZ04, CZ05, CZ06, CZ07, CZ08, CZ09, CZ0A, CZ0B, CZ0C, CZ0D, CZ0E, CZ0F, CZ0G, CZ0H, CZ0I, CZ0J, CZ0K, CZ0L, CZ0M, CZ0N, CZ0O, CZ0P, CZ0Q, CZ0R, CZ0S, CZ0T, CZ0U, CZ0V, CZ0W, CZ0X, CZ0Y, CZ0Z.",65,132
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",BG,"BG, Bulgaria",Give me all nuts regions that share a border with the region BG and have the same NUTS level,"BG311, BG324, BG325, BG326, BG327, BG328, BG411, BG412, BG413, BG414, BG415, BG416, BG417, BG418, BG419, BG421, BG422, BG423, BG431, BG432, BG433, BG434, BG511, BG512, BG521, BG522, BG523, BG611, BG612, BG613, BG621, BG622, BG623, BG624, BG625, BG626, BG627, BG628, BG631, BG632, BG633, BG634, BG641, BG642, BG643, BG644, BG645, BG646, BG647, BG648, BG649, BG651, BG652, BG653, BG654, BG655, BG656, BG657, BG658, BG659, BG661, BG662, BG663, BG664, BG665, BG666, BG667, BG668, BG669, BG671, BG672, BG673, BG674, BG675, BG676, BG677, BG678, BG679, BG681, BG682, BG683, BG684, BG685, BG686, BG687, BG688, BG689, BG691, BG692, BG693, BG694, BG695, BG696, BG697, BG698, BG699.",65,288
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",FR1,"FR1, ÎLE DE FRANCE",Give me all nuts regions that share a border with the region FR1 and have the same NUTS level,"FRB1
FRB2
FRB3
FRB4",66,15
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",DEG,"DEG, THÜRINGEN",Give me all nuts regions that share a border with the region DEG and have the same NUTS level,"DE2
DE3
DE4",66,8
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",PL7,"PL7, Makroregion centralny",Give me all nuts regions that share a border with the region PL7 and have the same NUTS level,"PL2
PL3
PL4
PL5
PL6",66,14
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",ITI,"ITI, Centro (IT)",Give me all nuts regions that share a border with the region ITI and have the same NUTS level,"ITF
ITH
ITG",66,7
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",PT18,"PT18, Alentejo",Give me all nuts regions that share a border with the region PT18 and have the same NUTS level,"ES11
ES21",66,5
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",FRK2,"FRK2, Rhône-Alpes",Give me all nuts regions that share a border with the region FRK2 and have the same NUTS level,"FRK1
FRK3",67,7
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",CZ03,"CZ03, Jihozápad",Give me all nuts regions that share a border with the region CZ03 and have the same NUTS level,"CZ01
CZ02
CZ04",66,11
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",DEF0,"DEF0, Schleswig-Holstein",Give me all nuts regions that share a border with the region DEF0 and have the same NUTS level,"DE21
DE22
DE23
DE24",66,11
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",RO41,"RO41, Sud-Vest Oltenia",Give me all nuts regions that share a border with the region RO41 and have the same NUTS level,"RO12
RO21
RO22
RO31",66,11
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",DEB3I,"DEB3I, Rhein-Pfalz-Kreis",Give me all nuts regions that share a border with the region DEB3I and have the same NUTS level,"DEB30, DEB2D, DEB2E, DEB2F",68,18
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",PL515,"PL515, Jeleniogórski",Give me all nuts regions that share a border with the region PL515 and have the same NUTS level,"PL41
PL51
PL61",66,8
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",LT022,"LT022, Kauno apskritis",Give me all nuts regions that share a border with the region LT022 and have the same NUTS level,"LT011
LT012
LT013",66,8
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",SE331,"SE331, Västerbottens län",Give me all nuts regions that share a border with the region SE331 and have the same NUTS level,"SE331, SE332, SE333, SE334",66,11
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",IE051,"IE051, Mid-West",Give me all nuts regions that share a border with the region IE051 and have the same NUTS level,"IE041
IE042
IE061",66,8
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",ES615,"ES615, Huelva",Give me all nuts regions that share a border with the region ES615 and have the same NUTS level,"ES511
ES612",66,5
"You are a helpful assistant that specializes in the European NUTS regions.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,only_codes",FRK21,"FRK21, Ain",Give me all nuts regions that share a border with the region FRK21 and have the same NUTS level,"FRK12
FRK22
FRK23",67,11
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",CZ,"CZ, ČESKÁ REPUBLIKA",Give me all nuts regions that share a border with the region CZ and have the same NUTS level,"DE, PL, SK, AT",80,7
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",BG,"BG, Bulgaria",Give me all nuts regions that share a border with the region BG and have the same NUTS level,"EL41, EL42, EL43, EL51, EL52, EL53, EL54, EL61, EL62, EL63, EL64, EL65, EL66, EL67, EL71, EL72, EL73, EL81, EL82, EL83, EL84, EL91, EL92, EL93, EL94, EL95, EL96, ELA1, ELA2, ELA3, ELA4, ELA5, ELA6, ELA7, ELA8, ELA9, ELB1, ELB2, ELB3, ELB4, ELB5, ELB6, ELB7, ELB8, ELB9, ELC1, ELC2, ELC3, ELC4, ELC5, ELC6, ELC7, ELC8, ELC9, ELD1, ELD2, ELD3, ELD4, ELD5, ELD6, ELD7, ELD8, ELD9, ELE1, ELE2, ELE3, ELE4, ELE5, ELE6, ELE7, ELE8, ELE9, ELF1, ELF2, ELF3, ELF4, ELF5, ELF6, ELF7, ELF8, ELF9, ELG1, ELG2, ELG3,",80,300
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",FR1,"FR1, ÎLE DE FRANCE",Give me all nuts regions that share a border with the region FR1 and have the same NUTS level,"FRB
FRC
FRD
FRE",81,11
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",DEG,"DEG, THÜRINGEN",Give me all nuts regions that share a border with the region DEG and have the same NUTS level,"DE21
DE22
DE23
DE24
DE25",81,14
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",PL7,"PL7, Makroregion centralny",Give me all nuts regions that share a border with the region PL7 and have the same NUTS level,"PL4
PL6
PL8",81,8
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",ITI,"ITI, Centro (IT)",Give me all nuts regions that share a border with the region ITI and have the same NUTS level,"ITF
ITH
ITG",81,7
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",PT18,"PT18, Alentejo",Give me all nuts regions that share a border with the region PT18 and have the same NUTS level,"ES30
ES21
ES11",81,8
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",FRK2,"FRK2, Rhône-Alpes",Give me all nuts regions that share a border with the region FRK2 and have the same NUTS level,"FRK1
FRK3",82,7
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",CZ03,"CZ03, Jihozápad",Give me all nuts regions that share a border with the region CZ03 and have the same NUTS level,"CZ01
CZ02
CZ04",81,11
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",DEF0,"DEF0, Schleswig-Holstein",Give me all nuts regions that share a border with the region DEF0 and have the same NUTS level,"DEF0, DEE0, DE30, DE71, DE72",81,15
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",RO41,"RO41, Sud-Vest Oltenia",Give me all nuts regions that share a border with the region RO41 and have the same NUTS level,"RO12
RO21
RO22
RO31",81,11
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",DEB3I,"DEB3I, Rhein-Pfalz-Kreis",Give me all nuts regions that share a border with the region DEB3I and have the same NUTS level,"DEB2, DEB3J, DEB3K",83,13
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",PL515,"PL515, Jeleniogórski",Give me all nuts regions that share a border with the region PL515 and have the same NUTS level,"PL514
PL516
PL517",81,8
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",LT022,"LT022, Kauno apskritis",Give me all nuts regions that share a border with the region LT022 and have the same NUTS level,"LT011
LT012
LT013",81,8
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",SE331,"SE331, Västerbottens län",Give me all nuts regions that share a border with the region SE331 and have the same NUTS level,"SE110
SE120
SE122
SE123
SE124
SE125
SE211
SE212
SE213
SE214",81,29
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",IE051,"IE051, Mid-West",Give me all nuts regions that share a border with the region IE051 and have the same NUTS level,"IE042, IE043, IE052, IE053",81,11
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",ES615,"ES615, Huelva",Give me all nuts regions that share a border with the region ES615 and have the same NUTS level,"ES511, ES612, ES618",81,8
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.","intro,details,task_specific,only_codes",FRK21,"FRK21, Ain",Give me all nuts regions that share a border with the region FRK21 and have the same NUTS level,"FRK22, FRK23, FRK24, FRK25, FRK26, FRK27, FRK28, FRK29",82,31
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",CZ,"CZ, ČESKÁ REPUBLIKA",Give me all nuts regions that share a border with the region CZ and have the same NUTS level,"['DE', 'PL', 'SK', 'AT']",88,12
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",BG,"BG, Bulgaria",Give me all nuts regions that share a border with the region BG and have the same NUTS level,"['EL41', 'EL42', 'EL43', 'EL51', 'EL52', 'EL53', 'EL54', 'EL61', 'EL62', 'EL63', 'EL64', 'EL65', 'EL66', 'EL67', 'EL71', 'EL72', 'EL73', 'EL74', 'EL81', 'EL82', 'EL83', 'EL84', 'EL91', 'EL92', 'EL93', 'EL94', 'EL95', 'EL96', 'EL11', 'EL12', 'EL13', 'EL21', 'EL22', 'EL23', 'EL24', 'EL25', 'EL30', 'EL41', 'EL42', 'EL43', 'EL51', 'EL52', 'EL53', 'EL54', 'EL61', 'EL62', 'EL63', 'EL64', 'EL65', 'EL66', 'EL67', 'EL71', 'EL72', 'EL73', 'EL74', 'EL81', 'EL82', 'EL83', 'EL84', 'EL91', 'EL92', 'EL93', 'EL94', 'EL95', 'EL96', 'EL11', 'EL12', 'EL13', 'EL21', 'EL22', 'EL23', 'EL24', 'EL25', 'EL30']",88,296
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",FR1,"FR1, ÎLE DE FRANCE",Give me all nuts regions that share a border with the region FR1 and have the same NUTS level,"['FRB', 'FRC', 'FRD', 'FRE', 'FRH', 'FRJ', 'FRK', 'FRL', 'FRM', 'FRN', 'FRO', 'FRP', 'FRQ', 'FRR', 'FRS', 'FRT', 'FRU', 'FRV', 'FRW', 'FRX', 'FRY', 'FRZ']",89,88
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",DEG,"DEG, THÜRINGEN",Give me all nuts regions that share a border with the region DEG and have the same NUTS level,"['DEE1', 'DEE2', 'DEE3', 'DEE4', 'DEE5', 'DEE6', 'DEE7', 'DEE8', 'DEE9', 'DEE0']",89,50
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",PL7,"PL7, Makroregion centralny",Give me all nuts regions that share a border with the region PL7 and have the same NUTS level,"['PL4', 'PL6', 'PL8', 'PL9']",89,16
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",ITI,"ITI, Centro (IT)",Give me all nuts regions that share a border with the region ITI and have the same NUTS level,"['ITF', 'ITH', 'ITG', 'ITC', 'ITB', 'ITD']",89,23
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",PT18,"PT18, Alentejo",Give me all nuts regions that share a border with the region PT18 and have the same NUTS level,"['ES30', 'ES11', 'ES21', 'ES12', 'ES41', 'ES42', 'ES43']",89,28
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",FRK2,"FRK2, Rhône-Alpes",Give me all nuts regions that share a border with the region FRK2 and have the same NUTS level,"['FRK1', 'FRK3', 'FRK4']",90,15
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",CZ03,"CZ03, Jihozápad",Give me all nuts regions that share a border with the region CZ03 and have the same NUTS level,"['CZ01', 'CZ02', 'CZ04', 'CZ05', 'CZ06', 'CZ07', 'CZ08']",89,35
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",DEF0,"DEF0, Schleswig-Holstein",Give me all nuts regions that share a border with the region DEF0 and have the same NUTS level,"['ABC1', 'GHI2', 'JKL3']",89,14
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",RO41,"RO41, Sud-Vest Oltenia",Give me all nuts regions that share a border with the region RO41 and have the same NUTS level,"['RO12', 'RO21', 'RO22', 'RO31', 'RO42', 'RO51']",89,24
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",DEB3I,"DEB3I, Rhein-Pfalz-Kreis",Give me all nuts regions that share a border with the region DEB3I and have the same NUTS level,"['DEB2', 'DEB3A', 'DEB3B', 'DEB3C', 'DEB3D', 'DEB3E', 'DEB3F', 'DEB3G', 'DEB3H', 'DEB3J', 'DEB3K', 'DEB3L', 'DEB3M', 'DEB3N', 'DEB3O', 'DEB3P', 'DEB3Q', 'DEB3R', 'DEB3S', 'DEB3T', 'DEB3U', 'DEB3V', 'DEB3W', 'DEB3X', 'DEB3Y', 'DEB3Z']",91,155
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",PL515,"PL515, Jeleniogórski",Give me all nuts regions that share a border with the region PL515 and have the same NUTS level,"['PL514', 'PL516', 'PL517', 'PL518']",89,16
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",LT022,"LT022, Kauno apskritis",Give me all nuts regions that share a border with the region LT022 and have the same NUTS level,"['LT011', 'LT012', 'LT013', 'LT014', 'LT015', 'LT021', 'LT023', 'LT024', 'LT025']",89,36
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",SE331,"SE331, Västerbottens län",Give me all nuts regions that share a border with the region SE331 and have the same NUTS level,"['SE332', 'SE333', 'SE334', 'SE342', 'SE343', 'SE344']",89,24
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",IE051,"IE051, Mid-West",Give me all nuts regions that share a border with the region IE051 and have the same NUTS level,"['IE042', 'IE053', 'IE061', 'IE052']",89,16
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",ES615,"ES615, Huelva",Give me all nuts regions that share a border with the region ES615 and have the same NUTS level,"['ES511', 'ES612', 'ES618', 'ES623']",89,16
"You are a helpful assistant that specializes in the European NUTS regions.
Your task is to identify neighbors of the region the user is asking about.
Your answer should only contain the relevant regions' NUTS-codes. Nothing else.
Format your answer as a python list.","intro,details,task_specific,only_codes,python_list",FRK21,"FRK21, Ain",Give me all nuts regions that share a border with the region FRK21 and have the same NUTS level,"['FRK22', 'FRK23', 'FRK24', 'FRK25', 'FRK26', 'FRK27', 'FRK28', 'FRK29']",90,40
